hs6,sitc3,lall_code
240290,12231,LDC02
240311,12232,LDC02
240319,12232,LDC02
240391,12239,LDC02
240399,12239,LDC02
250100,2783,LDC01
250200,2742,LDC01
250300,2741,LDC01
250410,27822,LDC01
250490,27822,LDC01
250510,27331,LDC01
250590,27339,LDC01
250610,27851,LDC01
250620,27851,LDC01
250700,27826,LDC01
250810,27827,LDC01
250830,27829,LDC01
250840,27829,LDC01
250850,27829,LDC01
250860,27829,LDC01
250870,27829,LDC01
250900,27891,LDC01
251010,27231,LDC01
251020,27232,LDC01
251110,27892,LDC01
251120,27892,LDC01
251200,27895,LDC01
251310,2772,LDC01
251320,27722,LDC01
251400,27311,LDC01
251511,27312,LDC01
251512,27312,LDC01
251520,27312,LDC01
251611,27313,LDC01
251612,27313,LDC01
251620,27313,LDC01
251690,27313,LDC01
251710,2734,LDC01
251720,2734,LDC01
251730,2734,LDC01
251741,2734,LDC01
251749,2734,LDC01
251810,27823,LDC01
251820,27823,LDC01
251830,27823,LDC01
251910,27824,LDC01
251990,27825,LDC01
252010,27323,LDC01
252020,27324,LDC01
252100,27322,LDC01
252210,66111,LDC03
252220,66112,LDC03
252230,66113,LDC03
252310,66121,LDC03
252321,66122,LDC03
252329,66122,LDC03
252330,66123,LDC03
252390,66129,LDC03
252410,2784,LDC01
252490,2784,LDC01
252510,27852,LDC01
252520,27852,LDC01
252530,27852,LDC01
252610,27893,LDC01
252620,27893,LDC01
252800,27894,LDC01
252910,27853,LDC01
252921,27854,LDC01
252922,27854,LDC01
252930,27853,LDC01
253010,27898,LDC01
253020,27899,LDC01
253090,27899,LDC01
260111,2815,LDC03
260112,2816,LDC03
260120,2814,LDC03
260200,2877,LDC03
260300,2831,LDC03
260400,2841,LDC03
260500,28793,LDC03
260600,2851,LDC03
260700,2874,LDC03
260800,2875,LDC03
260900,2876,LDC03
261000,28791,LDC03
261100,28792,LDC03
261210,2861,LDC03
261220,2862,LDC03
261310,28781,LDC03
261390,28782,LDC03
261400,28783,LDC03
261510,28784,LDC03
261590,28785,LDC03
261610,28911,LDC03
261690,28919,LDC03
261710,28799,LDC03
261790,28799,LDC03
261800,27861,LDC01
261900,27862,LDC01
262011,2881,LDC03
262019,2881,LDC03
262021,2881,LDC03
262029,2881,LDC03
262030,2881,LDC03
262040,2881,LDC03
262060,2881,LDC03
262091,2881,LDC03
262099,2881,LDC03
262110,27869,LDC01
262190,27869,LDC01
270111,3211,LDC01
270112,32121,LDC01
270119,32122,LDC01
270120,3221,LDC03
270210,32221,LDC03
270220,32222,LDC03
270300,3223,LDC03
270400,3250,LDC03
270500,3450,LDC01
270600,33521,LDC03
270710,33522,LDC03
270720,33523,LDC03
270730,33524,LDC03
270740,33525,LDC03
270750,33525,LDC03
270791,33525,LDC03
270799,33525,LDC03
270810,33531,LDC03
270820,33532,LDC03
270900,3330,LDC01
271012,334,LDC03
271019,334,LDC03
271020,334,LDC03
271091,334,LDC03
271099,334,LDC03
271111,3431,LDC01
271112,3421,LDC01
271113,3425,LDC01
271114,3441,LDC01
271119,3442,LDC01
271121,3432,LDC01
271129,3449,LDC01
271210,33511,LDC03
271220,33512,LDC03
271290,33512,LDC03
271311,33542,LDC03
271312,33542,LDC03
271320,33541,LDC03
271390,33541,LDC03
271410,27896,LDC01
271490,27897,LDC01
271500,33543,LDC03
271600,3510,LDC99
280110,52224,LDC03
280120,52225,LDC03
280130,52225,LDC03
280200,52226,LDC03
280300,5221,LDC03
280410,52221,LDC03
280421,52221,LDC03
280429,52221,LDC03
280430,52221,LDC03
280440,52221,LDC03
280450,52222,LDC03
280461,52223,LDC03
280469,52223,LDC03
280470,52222,LDC03
280480,52222,LDC03
280490,52222,LDC03
280511,52228,LDC03
280512,52229,LDC03
280519,52228,LDC03
280530,52229,LDC03
280540,52227,LDC03
280610,52231,LDC03
280620,52231,LDC03
280700,52232,LDC03
280800,52233,LDC03
280910,52234,LDC03
280920,52234,LDC03
281000,52235,LDC03
281111,52236,LDC03
281119,52236,LDC03
281121,52239,LDC03
281122,52237,LDC03
281129,52239,LDC03
281210,52241,LDC03
281290,52241,LDC03
281310,52242,LDC03
281390,52242,LDC03
281410,52261,LDC03
281420,52261,LDC03
281511,52262,LDC03
281512,52263,LDC03
281520,52264,LDC03
281530,52264,LDC03
281610,52265,LDC03
281640,52265,LDC03
281700,52251,LDC03
281810,52267,LDC03
281820,2852,LDC03
281830,52266,LDC03
281910,52252,LDC03
281990,52252,LDC03
282010,52253,LDC03
282090,52253,LDC03
282110,52254,LDC03
282120,52254,LDC03
282200,52255,LDC03
282300,52256,LDC03
282410,52257,LDC03
282490,52257,LDC03
282510,52268,LDC03
282520,52269,LDC03
282530,52269,LDC03
282540,52269,LDC03
282550,52269,LDC03
282560,52269,LDC03
282570,52269,LDC03
282580,52269,LDC03
282590,52269,LDC03
282612,5231,LDC03
282619,5231,LDC03
282630,5231,LDC03
282690,5231,LDC03
282710,52321,LDC03
282720,52322,LDC03
282731,52329,LDC03
282732,52329,LDC03
282735,52329,LDC03
282739,52329,LDC03
282741,52329,LDC03
282749,52329,LDC03
282751,52329,LDC03
282759,52329,LDC03
282760,52329,LDC03
282810,52331,LDC03
282890,52331,LDC03
282911,52332,LDC03
282919,52339,LDC03
282990,52339,LDC03
283010,52341,LDC03
283090,52342,LDC03
283110,52343,LDC03
283190,52343,LDC03
283210,52344,LDC03
283220,52344,LDC03
283230,52344,LDC03
283311,52345,LDC03
283319,52345,LDC03
283321,52349,LDC03
283322,52349,LDC03
283324,52349,LDC03
283325,52349,LDC03
283327,52349,LDC03
283329,52349,LDC03
283330,52349,LDC03
283340,52349,LDC03
283410,52351,LDC03
283421,52352,LDC03
283429,52359,LDC03
283510,52361,LDC03
283522,52363,LDC03
283524,52363,LDC03
283525,52363,LDC03
283526,52363,LDC03
283529,52363,LDC03
283531,52364,LDC03
283539,52365,LDC03
283620,52372,LDC03
283630,52373,LDC03
283640,52374,LDC03
283650,52379,LDC03
283660,52379,LDC03
283691,52379,LDC03
283692,52379,LDC03
283699,52379,LDC03
283711,52381,LDC03
283719,52381,LDC03
283720,52381,LDC03
283911,52383,LDC03
283919,52383,LDC03
283990,52383,LDC03
284011,52384,LDC03
284019,52384,LDC03
284020,52384,LDC03
284030,52384,LDC03
284130,52431,LDC03
284150,52431,LDC03
284161,52431,LDC03
284169,52431,LDC03
284170,52431,LDC03
284180,52431,LDC03
284190,52431,LDC03
284210,52389,LDC03
284290,52389,LDC03
284310,52432,LDC03
284321,52432,LDC03
284329,52432,LDC03
284330,52432,LDC03
284390,52432,LDC03
284410,52511,LDC10
284420,52513,LDC10
284430,52515,LDC10
284440,52519,LDC10
284450,52517,LDC10
284510,52591,LDC10
284590,52591,LDC10
284610,52595,LDC10
284690,52595,LDC10
284700,52491,LDC03
284800,52492,LDC03
284910,52493,LDC03
284920,52494,LDC03
284990,52494,LDC03
285000,52495,LDC03
285210,524,LDC03
285290,524,LDC03
285300,52499,LDC03
290110,51114,LDC03
290121,51111,LDC03
290122,51112,LDC03
290123,51113,LDC03
290124,51113,LDC03
290129,51119,LDC03
290211,51121,LDC03
290219,51129,LDC03
290220,51122,LDC03
290230,51123,LDC03
290241,51124,LDC03
290242,51124,LDC03
290243,51124,LDC03
290244,51124,LDC03
290250,51125,LDC03
290260,51126,LDC03
290270,51127,LDC03
290290,51129,LDC03
290311,51136,LDC03
290312,51136,LDC03
290313,51136,LDC03
290314,51136,LDC03
290315,51135,LDC03
290319,51136,LDC03
290321,51131,LDC03
290322,51132,LDC03
290323,51133,LDC03
290329,51134,LDC03
290331,51137,LDC03
290339,51137,LDC03
290371,51138,LDC03
290372,51138,LDC03
290373,51138,LDC03
290374,51138,LDC03
290375,51138,LDC03
290376,51138,LDC03
290377,51138,LDC03
290378,51138,LDC03
290379,51138,LDC03
290381,51139,LDC03
290382,51139,LDC03
290389,51139,LDC03
290391,51139,LDC03
290392,51139,LDC03
290399,51139,LDC03
290410,5114,LDC03
290420,5114,LDC03
290490,5114,LDC03
290511,51211,LDC07
290512,51212,LDC07
290513,51213,LDC07
290514,51213,LDC07
290516,51214,LDC07
290517,51219,LDC07
290519,51219,LDC07
